Rank	Player	Position	Team
685.50	Malick Meiga	WR	
685.60	Erick All	TE	CIN
685.90	Khalil Herbert	RB	
686.00	Davis Mills	QB	HOU
686.10	Nick Chubb	RB	
686.20	C.J. Johnson	WR	
686.20	Jonnu Smith	TE	
686.40	Grant Calcaterra	TE	PHI
687.10	Jake Browning	QB	TB
687.40	Zack Kuntz	TE	DAL
687.50	Robert Griffin	QB	
687.60	Jeff Weimer	WR	KC
687.60	Riley Patterson	K	MIA
687.60	Tyrod Taylor	QB	GB
687.70	Devin Singletary	RB	NYG
688.30	Joe Milton	QB	DAL
688.60	Joshua Palmer	WR	BUF
688.70	Samson Nacua	WR	
689.00	Amari Rodgers	WR	
689.00	Dominic Zvada	K	NYG
689.60	Tutu Atwell	WR	MIA
689.90	Mason Rudolph	QB	PIT
690.00	Tyreik McAllister	RB	
690.00	Will Grier	QB	
690.30	Hendon Hooker	QB	TEN
690.50	D'Eriq King	QB	
691.00	Nate Sudfeld	QB	
691.40	DJ Giddens	RB	IND
691.40	Eli Heidenreich	RB	PIT
691.40	Jalin Hyatt	WR	NYG
691.40	John Metchie	WR	CAR
691.50	Omari Evans	WR	KC
692.20	Luke Musgrave	TE	GB
692.70	Aaron Shampklin	RB	
692.70	Grant Finley	RB	NYG
692.70	Matt Ryan	QB	
692.80	Grayson Gunter	TE	
692.80	Kevin Coleman	WR	MIA
692.80	Nikko Remigio	WR	KC
693.00	T.J. Pledger	RB	
693.40	Theo Wease	WR	MIA
693.70	Trevor Etienne	RB	CAR
694.00	Andy Isabella	WR	
694.10	Phil Mafah	RB	DAL
694.40	Anthony Sherman	RB	
694.80	Elijah Moore	WR	PHI
694.80	Taylen Green	QB	CLE
695.30	Will Kacmarek	TE	MIA
695.50	Trey Sermon	RB	ATL
695.50	Tyren Montgomery	WR	TEN
695.70	Bryce Lance	WR	NO
695.90	Matt Hibner	TE	BAL
695.90	Montrell Washington	WR	
695.90	Tyler Huntley	QB	BAL
696.50	Roc Taylor	WR	CAR
696.70	Julio Jones	WR	
696.80	Trayvon Rudolph	WR	MIN
697.30	Luke McCaffrey	WR	WAS
697.50	Colbie Young	WR	CIN
697.70	Kalif Raymond	WR	CHI
698.00	Gardner Minshew	QB	ARI
698.70	J'Mari Taylor	RB	JAX
698.80	Olamide Zaccheaus	WR	ATL
698.90	Taysom Hill	TE	
699.00	Marquise Brown	WR	PHI
699.20	Mark Ingram	RB	
699.30	Calvin Austin	WR	NYG
699.30	Greg Dortch	WR	DET
699.30	Jadon Haselwood	WR	
699.30	Lucas Havrisik	K	
699.50	Jake Verity	K	
699.60	Israel Abanikanda	RB	DAL
700.10	Dont'e Thornton	WR	LV
700.40	Jacob Copeland	WR	
700.50	ZaQuandre White	RB	
700.60	Chris Brazzell	WR	CAR
700.60	Skyy Moore	WR	GB
