Rank,Player,Pos,Team,Avg ADP,# Sites,ESPN,Yahoo,Sleeper,FantasyPros,PFF
76,Anthony Smith,WR,DAL,66.0,2,79.0,,,53.0,
77,Diego Pavia,QB,,66.0,1,,,,66.0,
78,Michael Trigg,TE,DAL,66.75,4,82.0,70.0,64.0,51.0,
79,Jack Strand,QB,ATL,67.0,1,,,,67.0,
80,Cole Payton,QB,PHI,67.5,4,77.0,53.0,90.0,50.0,
81,Kejon Owens,RB,MIN,67.5,2,,,68.0,67.0,
82,Roman Hemby,RB,LV,68.1,3,,76.0,67.0,61.3,
83,John Michael Gyllenborg,TE,KC,68.33,3,,81.0,65.0,59.0,
84,Desmond Reid,RB,BUF,70.5,2,,,62.0,79.0,
85,Terion Stewart,RB,KC,71.0,1,,,,71.0,
86,Lewis Bond,WR,HOU,73.17,3,78.0,73.0,,68.5,
87,Kendrick Law,WR,DET,74.33,3,65.0,74.0,,84.0,
88,Jalon Daniels,QB,TB,74.5,2,,52.0,,97.0,
89,Cody Hardy,TE,NO,76.0,1,,,76.0,,
90,Max Bredeson,RB,MIN,77.0,2,48.0,,,106.0,
91,Tanner Arkin,TE,NE,77.0,1,,,77.0,,
92,Jaren Kanak,TE,TEN,77.75,4,66.0,87.0,58.0,100.0,
93,Chase Roberts,WR,LV,78.0,1,,,,78.0,
94,Noah Whittington,RB,HOU,78.5,2,,77.0,,80.0,
95,CJ Donaldson,RB,NO,79.5,2,,,69.0,90.0,
96,Jalen Walthall,WR,HOU,80.0,1,,,80.0,,
97,Dae'Quan Wright,TE,PHI,81.0,3,,82.0,75.0,86.0,
98,Eric Rivers Jr,WR,TB,81.33,3,,90.0,61.0,93.0,
99,Emmanuel Henderson Jr.,WR,SEA,81.5,4,81.0,78.0,50.0,117.0,
100,Aaron Anderson,WR,CLE,82.0,2,,,83.0,81.0,
101,Barika Kpeenu,RB,,83.0,1,,,,83.0,
102,Dallen Bentley,TE,DEN,83.0,3,80.0,84.0,,85.0,
103,Haynes King,QB,CAR,84.0,1,,,,84.0,
104,Bauer Sharp,TE,TB,85.5,4,70.0,83.0,57.0,132.0,
105,Jamal Haynes,RB,CIN,86.0,3,,80.0,70.0,108.0,
106,Sawyer Robertson,QB,,87.0,1,,,,87.0,
107,Behren Morton,QB,NE,88.0,4,71.0,89.0,88.0,104.0,
108,Chip Trayanum,RB,NYJ,88.0,1,,,,88.0,
109,Dean Connors,RB,LAR,89.0,1,,,,89.0,
110,Vinny Anthony II,WR,ATL,89.5,2,,,66.0,113.0,
111,Riley Nowakowski,TE,PIT,90.33,3,60.0,86.0,,125.0,
112,Luke Altmyer,QB,DET,91.0,3,,88.0,89.0,96.0,
113,Rahsul Faison,RB,,91.0,1,,,,91.0,
114,Noah Thomas,WR,CIN,92.5,2,,,84.0,101.0,
115,DJ Rogers,TE,DAL,93.0,2,,,59.0,127.0,
116,Cortez Braham Jr.,WR,BAL,94.0,1,,,,94.0,
117,Jordan Hudson,WR,DAL,94.0,2,,,72.0,116.0,
118,Hank Beatty,WR,TEN,95.0,1,,,,95.0,
119,J. Michael Sturdivant,WR,GB,95.0,2,,79.0,,111.0,
120,Dane Key,WR,DEN,95.5,2,,,86.0,105.0,
121,Joe Fagnano,QB,BAL,96.5,2,,,91.0,102.0,
122,Athan Kaliakmanis,QB,WAS,98.0,2,73.0,,,123.0,
123,Dominic Richardson,RB,,98.0,1,,,,98.0,
124,Lake McRee,TE,PIT,98.5,2,,,71.0,126.0,
125,Kentrel Bullock,RB,CIN,99.0,1,,,,99.0,
126,Dan Villari,TE,LAR,101.0,2,,,74.0,128.0,
127,Caullin Lacy,WR,NYJ,101.5,2,,,85.0,118.0,
128,Byron Cardwell Jr.,RB,,107.0,1,,,,107.0,
129,Harrison Wallace III,WR,ARI,110.0,1,,,,110.0,
130,Romello Brinson,WR,,112.0,1,,,,112.0,
131,Chris Hilton Jr.,WR,WAS,114.0,1,,,,114.0,
132,Donaven McCulley,WR,MIA,115.0,1,,,,115.0,
133,Trebor Pena,WR,JAX,119.0,1,,,,119.0,
134,Dillon Bell,WR,MIN,120.0,1,,,,120.0,
135,Jalil Farooq,WR,,121.0,1,,,,121.0,
136,Joey Aguilar,QB,JAX,122.0,1,,,,122.0,
137,Miller Moss,QB,CHI,124.0,1,,,,124.0,
138,Miles Kitselman,TE,DET,129.0,1,,,,129.0,
139,RJ Maryland,TE,GB,131.0,1,,,,131.0,
140,Khalil Dinkins,TE,,133.0,1,,,,133.0,
141,Rohan Jones,TE,LAR,134.0,1,,,,134.0,
142,Dominic Zvada,K,NYG,140.0,2,33.0,,93.0,,
143,Trey Smack,K,GB,140.0,2,,,92.0,45.0,
